iso_alpha3,country,population,whostandard,natstandard,pm2021,aq_monitoring,open_data,aq_standard,number_of_locations,monitor_density,aq_mon_dummy,open_data_dummy,aq_std_dummy,pm_dummy,pop_dummy,num_loc_dummy,mon_dens_dummy,opportunity_score
DOM,Dominican Republic,10530269,5,15,7.87,Y,N,Y,1,9.496433566891785e-8,0,1,0,0,1,1,0,3
GUY,Guyana,747880,5,NA,7.14,Y,N,N,1,1.337112905813767e-6,0,1,1,0,0,1,0,3
GMB,Gambia,2207303,5,NA,7.06,N,N,N,3,1.359124687457952e-6,1,1,1,0,0,0,0,3
SEN,Senegal,15919888,5,NA,5.68,Y,N,N,12,7.537741471548041e-7,0,1,1,0,1,0,0,3
TTO,Trinidad and Tobago,1209270,5,15,3.95,Y,N,Y,0,0,0,1,0,0,0,1,1,3
MRT,Mauritania,4114938,5,NA,3.8,N,N,N,2,4.860340544620599e-7,1,1,1,0,0,0,0,3
BRB,Barbados,297599,5,10,2.52,Y,N,Y,0,0,0,1,0,0,0,1,1,3
FJI,Fiji,894668,5,NA,2.44,N,N,N,4,4.470932234080128e-6,1,1,1,0,0,0,0,3
TKL,Tokelau,508,5,NA,1.35,N,N,N,7,0.013779527559055118,1,1,1,0,0,0,0,3
GRL,Greenland,31286,5,NA,1.25,N,N,N,3,9.58895352553858e-5,1,1,1,0,0,0,0,3
MNG,Mongolia,3196294,5,25,36.04,Y,N,Y,91,2.8470472365808652e-5,0,1,0,1,0,0,0,2
KOR,South Korea,51427386,5,15,20.36,Y,Y,Y,139,2.702840078241581e-6,0,0,0,1,1,0,0,2
SRB,Serbia,7003880,5,25,20.21,Y,Y,Y,60,8.56668018298429e-6,0,0,0,1,1,0,0,2
BGR,Bulgaria,6914894,5,25,19.01,Y,Y,Y,93,1.3449230024350337e-5,0,0,0,1,1,0,0,2
