"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"HTI","Haiti",11010430,10.09,"N","N","N",NA,NA,NA,NA,NA,2,3,NA,0,0,NA,1,1,1,2,1,1,1,0.8,1.2,1,11,"High"
"KHM","Cambodia",17297449,19.84,"Y","N","N",NA,NA,NA,NA,77.694996,4,3,NA,1,0,NA,0,1,1,2,1,1,0,1.6,1.2,1,10.8,"High"
"YEM","Yemen",30314666,14.75,"N","N","N",NA,NA,NA,NA,11.978233,3,4,NA,0,0,NA,1,1,1,2,1,1,0,1.2,1.6,1,10.8,"High"
"SWZ","Swaziland",1118655,15.9,"N","N","N",NA,NA,NA,NA,NA,3,1,NA,0,0,NA,1,1,1,2,1,1,1,1.2,0.4,1,10.6,"High"
"ERI","Eritrea",6087587,12.95,"N","N","N",NA,NA,NA,NA,0.003548,2,2,NA,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,1,10.6,"High"
"SLE","Sierra Leone",6739524,11.63,"N","N","N",NA,NA,NA,NA,NA,2,2,NA,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,1,10.6,"High"
"TJK","Tajikistan",8977811,16.69,"Y","N","N",3,3,NA,0.334075723830735,NA,3,2,2,1,0,NA,0,1,1,2,1,1,1,1.2,0.8,0.4,10.4,"High"
"GMB","Gambia",2207303,7.06,"N","N","N",3,NA,3,1.35746606334842,NA,1,1,3,0,1,NA,1,1,1,2,1,1,1,0.4,0.4,0.6,10.4,"High"
"SLV","El Salvador",6485597,25.84,"Y","N","Y",2,NA,2,0.308166409861325,0.011573,5,2,2,1,0,NA,0,1,0,2,1,1,1,2,0.8,0.4,10.2,"High"
"BWA","Botswana",2350003,12.85,"N","N","N",NA,NA,NA,NA,NA,2,1,NA,0,0,NA,1,1,1,2,1,1,1,0.8,0.4,1,10.2,"High"
"GIN","Guinea",12795452,11.2,"N","N","N",1,1,NA,0.078125,NA,2,3,1,0,0,NA,1,1,1,2,1,1,1,0.8,1.2,0.2,10.2,"High"
"ARG","Argentina",45888555,11.15,"Y","N","Y",15,7,8,0.326868598823273,NA,2,5,2,0,1,NA,0,1,0,2,1,1,1,0.8,2,0.4,10.2,"High"
"BFA","Burkina Faso",21364329,8.52,"N","N","N",1,NA,1,0.0468164794007491,13.798376,1,4,1,0,1,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,10.2,"High"
"QAT","Qatar",2445028,30.05,"Y","N","N",6,1,5,2.44897959183673,NA,5,1,3,1,0,"High Income",0,1,1,2,1,1,0,2,0.4,0.6,10,"High"
"SAU","Saudi Arabia",33434409,25.03,"Y","N","Y",8,4,4,0.239306012563566,NA,5,4,2,1,0,"High Income",0,1,0,2,1,1,0,2,1.6,0.4,10,"High"
"BHR","Bahrain",1367240,17.92,"Y","N","N",NA,NA,NA,NA,NA,4,1,NA,1,0,"High Income",0,1,1,2,1,1,0,1.6,0.4,1,10,"High"
"SDN","Sudan",46712136,11.37,"N","N","N",3,3,NA,0.0642260757867694,11.994919,2,5,1,0,0,NA,1,1,1,2,1,1,0,0.8,2,0.2,10,"High"
"LBR","Liberia",5105621,10.48,"N","N","N",2,NA,2,0.391389432485323,NA,2,2,2,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.4,10,"High"
"TKM","Turkmenistan",5554973,10.37,"N","N","N",3,2,1,0.540540540540541,NA,2,2,2,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.4,10,"High"
"GTM","Guatemala",17402899,29.05,"Y","N","N",38,2,36,2.18390804597701,0.022909,5,3,3,1,1,NA,0,1,1,0,1,0,1,2,1.2,0.6,9.8,"High"
"LKA","Sri Lanka",22831388,18.79,"Y","N","Y",18,1,17,0.788436268068331,NA,4,4,3,1,0,NA,0,1,0,2,1,0,1,1.6,1.6,0.6,9.8,"High"
"EGY","Egypt",106245735,18.24,"Y","N","Y",3,1,2,0.0282352941176471,0,4,5,1,0,0,NA,0,1,0,2,1,1,1,1.6,2,0.2,9.8,"High"
"KWT","Kuwait",3010781,17.16,"Y","N","N",11,1,10,3.65448504983389,NA,4,1,4,1,0,"High Income",0,1,1,2,1,1,0,1.6,0.4,0.8,9.8,"High"
"PNG","Papua New Guinea",7193016,12.86,"N","N","N",1,NA,1,0.139082058414465,NA,2,2,1,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.2,9.8,"High"
"MOZ","Mozambique",30804884,12.41,"N","N","N",7,NA,7,0.227272727272727,9.308776,2,4,2,0,0,NA,1,1,1,2,1,1,0,0.8,1.6,0.4,9.8,"High"
"NAM","Namibia",2674922,11.97,"N","N","N",2,NA,2,0.749063670411985,NA,2,1,3,0,0,NA,1,1,1,2,1,1,1,0.8,0.4,0.6,9.8,"High"
"TLS","Timor-Leste",1393234,10.53,"N","N","N",3,NA,3,2.15827338129496,NA,2,1,3,0,0,NA,1,1,1,2,1,1,1,0.8,0.4,0.6,9.8,"High"
"UZB","Uzbekistan",30988328,20.04,"Y","N","N",9,1,8,0.290416263310745,208.961318,4,4,2,0,0,NA,0,1,1,2,1,1,0,1.6,1.6,0.4,9.6,"Medium"
"SSD","South Sudan",11007070,16.04,"N","N","N",1,NA,1,0.0908265213442325,0.956087,3,3,1,0,0,NA,1,1,1,2,1,1,0,1.2,1.2,0.2,9.6,"Medium"
"LAO","Laos",7594304,27.16,"N","N","N",35,7,28,4.61133069828722,0.034281,5,2,4,1,0,NA,1,1,1,0,1,0,1,2,0.8,0.8,9.6,"Medium"
"ARM","Armenia",3019699,19.51,"Y","N","N",7,1,6,2.31788079470199,0.163229138733109,4,1,3,1,0,NA,0,1,1,2,1,1,0,1.6,0.4,0.6,9.6,"Medium"
"TGO","Togo",8279448,15.4,"N","N","N",11,NA,11,1.32850241545894,0.139637,3,2,3,0,1,NA,1,1,1,2,1,0,0,1.2,0.8,0.6,9.6,"Medium"
"ALB","Albania",3082234,13.53,"Y","N","Y",NA,NA,NA,NA,NA,3,1,NA,1,0,NA,0,1,0,2,1,1,1,1.2,0.4,1,9.6,"Medium"
"SGP","Singapore",5842829,13.01,"Y","N","Y",NA,NA,NA,NA,NA,2,2,NA,1,1,"High Income",0,1,0,2,1,1,0,0.8,0.8,1,9.6,"Medium"
"SOM","Somalia",12035043,9.16,"N","N","N",NA,NA,NA,NA,0.797821,1,3,NA,0,0,NA,1,1,1,2,1,1,0,0.4,1.2,1,9.6,"Medium"
"TZA","Tanzania",61738595,16.38,"N","N","N",13,NA,13,0.210560414642047,0.478855,3,5,1,0,0,NA,1,1,1,2,1,0,0,1.2,2,0.2,9.4,"Medium"
"KAZ","Kazakhstan",19244616,13.28,"Y","N","N",20,2,18,1.03950103950104,NA,3,4,3,0,0,NA,0,1,1,2,1,0,1,1.2,1.6,0.6,9.4,"Medium"
"TUR","Turkey",81848204,21.78,"Y","N","N",354,346,8,4.32498472816127,NA,4,5,4,1,0,NA,0,1,1,0,0,1,1,1.6,2,0.8,9.4,"Medium"
"NPL","Nepal",30457421,51.71,"Y","N","N",91,3,88,2.98752462245568,5.628082,5,4,3,1,1,NA,0,1,1,0,1,0,0,2,1.6,0.6,9.2,"Medium"
"UGA","Uganda",44567430,26.69,"Y","N","N",49,1,48,1.09939421135293,14.549741,5,4,3,1,1,NA,0,1,1,0,1,0,0,2,1.6,0.6,9.2,"Medium"
"JOR","Jordan",10912210,18.6,"Y","N","N",7,5,2,0.641613198900092,2.833282,4,3,2,0,0,NA,0,1,1,2,1,1,0,1.6,1.2,0.4,9.2,"Medium"
"AZE","Azerbaijan",10205985,12.4,"Y","N","N",2,1,1,0.19588638589618,NA,2,3,1,0,0,NA,0,1,1,2,1,1,1,0.8,1.2,0.2,9.2,"Medium"
"TCD","Chad",17452358,11.14,"N","N","N",2,1,1,0.114613180515759,0.598264,2,3,1,0,0,NA,1,1,1,2,1,1,0,0.8,1.2,0.2,9.2,"Medium"
"NER","Niger",23602767,8.87,"N","N","N",4,NA,4,0.169491525423729,0.398843,1,4,1,0,0,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,9.2,"Medium"
"MAR","Morocco",35800311,8.83,"Y","N","N",2,NA,2,0.0558659217877095,NA,1,4,1,0,0,NA,0,1,1,2,1,1,1,0.4,1.6,0.2,9.2,"Medium"
"MLI","Mali",20119024,6.79,"N","N","N",1,1,NA,0.0497017892644135,11.250753,1,4,1,0,0,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,9.2,"Medium"
"NGA","Nigeria",218604443,23,"Y","N","N",60,3,57,0.274473924977127,3.707943,4,5,2,1,1,NA,0,1,1,0,1,0,0,1.6,2,0.4,9,"Medium"
"PRY","Paraguay",7260580,13.69,"Y","N","Y",NA,NA,NA,NA,NA,3,2,NA,0,0,NA,0,1,0,2,1,1,1,1.2,0.8,1,9,"Medium"
"CRI","Costa Rica",5123419,12.51,"Y","N","N",3,1,2,0.5859375,NA,2,2,2,0,0,NA,0,1,1,2,1,1,1,0.8,0.8,0.4,9,"Medium"
"THA","Thailand",69322864,23.19,"Y","N","Y",358,258,100,5.16445470282747,0.0909347317744154,5,5,4,1,1,NA,0,1,0,0,0,0,1,2,2,0.8,8.8,"Medium"
"GNB","Guinea-Bissau",1900902,8.57,"N","N","N",NA,NA,NA,NA,0.678864,1,1,NA,0,0,NA,1,1,1,2,1,1,0,0.4,0.4,1,8.8,"Medium"
"MUS","Mauritius",1339718,6.07,"Y","N","N",NA,NA,NA,NA,NA,1,1,NA,0,0,NA,0,1,1,2,1,1,1,0.4,0.4,1,8.8,"Medium"
"TUN","Tunisia",11718498,8.62,"Y","N","N",NA,NA,NA,NA,0.259846827133479,1,3,NA,0,0,NA,0,1,1,2,1,1,0,0.4,1.2,1,8.6,"Medium"
"BGD","Bangladesh",164804810,73.96,"Y","N","Y",48,4,44,0.29126213592233,1052.46820617324,5,5,2,1,1,NA,0,1,0,0,1,0,0,2,2,0.4,8.4,"Medium"
"LBY","Libya",7001233,6.78,"N","N","N",1,NA,1,0.142857142857143,0.557172,1,2,1,0,0,NA,1,1,1,2,1,1,0,0.4,0.8,0.2,8.4,"Medium"
"PAK","Pakistan",238039784,44.73,"Y","N","Y",30,5,25,0.126029238783398,19.145064,5,5,1,1,1,NA,0,1,0,0,1,0,0,2,2,0.2,8.2,"Medium"
"OMN","Oman",3604932,12.12,"Y","N","N",NA,NA,NA,NA,NA,2,1,NA,0,0,"High Income",0,1,1,2,1,1,0,0.8,0.4,1,8.2,"Medium"
"DZA","Algeria",43480294,6.15,"Y","N","N",1,1,NA,0.0229990800367985,0.317866,1,4,1,0,0,NA,0,1,1,2,1,1,0,0.4,1.6,0.2,8.2,"Medium"
"IDN","Indonesia",271983396,18.76,"Y","N","Y",70,6,64,0.257371865578351,0.150333726272352,4,5,2,1,1,NA,0,1,0,0,1,0,0,1.6,2,0.4,8,"Low"
"ECU","Ecuador",17062470,16.01,"Y","N","Y",17,8,9,0.996483001172333,1.315395,3,3,3,0,0,NA,0,1,0,2,1,1,0,1.2,1.2,0.6,8,"Low"
"MDA","Moldova",3329201,14.69,"Y","N","Y",2,2,NA,0.600600600600601,0,3,1,2,0,0,NA,0,1,0,2,1,1,1,1.2,0.4,0.4,8,"Low"
"PAN","Panama",3887799,9.07,"N","N","Y",5,NA,5,1.2853470437018,NA,1,2,3,0,0,"High Income",1,1,0,2,1,1,0,0.4,0.8,0.6,7.8,"Low"
"MKD","Macedonia",2120037,22.89,"Y","Y","N",18,16,2,8.49056603773585,26.5306113282876,4,1,4,1,0,NA,0,0,1,2,0,1,0,1.6,0.4,0.8,7.8,"Low"
"LBN","Lebanon",6052932,16.81,"N","N","N",39,NA,39,6.44628099173554,5.347587,3,2,4,1,0,NA,1,1,1,0,1,0,0,1.2,0.8,0.8,7.8,"Low"
"URY","Uruguay",3380971,8.41,"Y","N","N",NA,NA,NA,NA,NA,1,1,NA,0,0,"High Income",0,1,1,2,1,1,0,0.4,0.4,1,7.8,"Low"
"DOM","Dominican Republic",10530269,7.87,"Y","N","Y",1,NA,1,0.0949667616334283,0,1,3,1,0,0,NA,0,1,0,2,1,1,1,0.4,1.2,0.2,7.8,"Low"
"GHA","Ghana",32327350,13.12,"Y","N","N",108,2,106,3.34055057222394,20.7373508271335,3,4,4,0,1,NA,0,1,1,0,1,0,0,1.2,1.6,0.8,7.6,"Low"
"IND","India",1338260837,58.7,"Y","N","Y",1031,419,612,0.770403359586329,7.23828251031637,5,5,3,1,1,NA,0,1,0,0,0,0,0,2,2,0.6,7.6,"Low"
"GEO","Georgia",4925584,14.5,"Y","Y","Y",10,NA,10,2.02839756592292,3.3811750166144,3,2,3,1,0,NA,0,0,0,2,1,1,0,1.2,0.8,0.6,7.6,"Low"
"JAM","Jamaica",2782704,13.02,"Y","N","Y",1,NA,1,0.359712230215827,NA,2,1,2,0,0,NA,0,1,0,2,1,1,1,0.8,0.4,0.4,7.6,"Low"
"VNM","Vietnam",102577688,25.8,"Y","N","Y",51,6,45,0.49717293819458,0.79664101325,5,5,2,1,0,NA,0,1,0,0,1,0,0,2,2,0.4,7.4,"Low"
"LVA","Latvia",1858752,14.06,"Y","Y","Y",9,7,2,4.83870967741935,NA,3,1,4,1,0,"High Income",0,0,0,2,1,1,0,1.2,0.4,0.8,7.4,"Low"
"MYS","Malaysia",33265680,13.74,"Y","N","N",31,10,21,0.931770363691013,NA,3,4,3,0,0,NA,0,1,1,0,1,0,1,1.2,1.6,0.6,7.4,"Low"
"PER","Peru",32136270,24.25,"Y","N","Y",128,14,114,3.98257622899813,0.598264,5,4,4,1,1,NA,0,1,0,0,0,0,0,2,1.6,0.8,7.4,"Low"
"ZAF","South Africa",56955067,21.06,"Y","N","Y",221,169,52,3.87991573033708,0.122796107290234,4,5,4,1,1,NA,0,1,0,0,0,0,0,1.6,2,0.8,7.4,"Low"
"BRA","Brazil",213107172,11.07,"Y","N","N",257,74,183,1.20594997888414,0.0869823356258597,2,5,3,0,1,NA,0,1,1,0,0,0,1,0.8,2,0.6,7.4,"Low"
"UKR","Ukraine",43666672,14.58,"Y","N","Y",11,NA,11,0.251889168765743,10.2121280945,3,4,2,0,0,NA,0,1,0,2,1,0,0,1.2,1.6,0.4,7.2,"Low"
"SEN","Senegal",15919888,5.68,"Y","N","N",12,NA,12,0.753768844221106,116.084816,1,3,3,0,0,NA,0,1,1,2,1,0,0,0.4,1.2,0.6,7.2,"Low"
"XKO","Kosovo",1930871,20.79,"Y","N","N",28,19,9,14.5077720207254,0,4,1,5,0,0,NA,0,1,1,0,0,1,1,1.6,0.4,1,7,"Low"
"PHL","Philippines",108032572,18.34,"Y","N","Y",27,NA,27,0.249930574840322,3.315006,4,5,2,1,0,NA,0,1,0,0,1,0,0,1.6,2,0.4,7,"Low"
"MDG","Madagascar",27430097,9.93,"Y","Y","N",16,1,15,0.583302952971199,0.178483,2,4,2,0,0,NA,0,0,1,2,1,0,0,0.8,1.6,0.4,6.8,"Low"
"HRV","Croatia",4147707,14.86,"Y","Y","Y",19,15,4,4.57831325301205,NA,3,2,4,1,0,"High Income",0,0,0,2,0,1,0,1.2,0.8,0.8,6.8,"Low"
"CHN","China",1402508466,30.2,"Y","N","Y",1876,1865,11,1.3376018709314,307.243050664757,5,5,3,1,0,NA,0,1,0,0,0,0,0,2,2,0.6,6.6,"Low"
"MNG","Mongolia",3196294,36.04,"Y","N","Y",124,44,80,38.75,4.769264097435,5,1,5,1,1,NA,0,1,0,0,0,0,0,2,0.4,1,6.4,"Low"
"CZE","Czechia",10710377,13.23,"Y","Y","Y",127,111,16,11.8580765639589,NA,3,3,5,1,1,NA,0,0,0,0,0,0,1,1.2,1.2,1,6.4,"Low"
"ARE","United Arab Emirates",9784395,16.81,"Y","N","N",32,22,10,3.2719836400818,NA,4,3,3,0,0,"High Income",0,1,1,0,0,1,0,1.6,1.2,0.6,6.4,"Low"
"KOR","South Korea",51427386,20.36,"Y","Y","Y",140,2,138,2.72214660703869,NA,4,5,3,1,0,"High Income",0,0,0,0,1,0,0,1.6,2,0.6,6.2,"Low"
"CYP","Cyprus",831156,12.35,"Y","Y","Y",20,10,10,24.0963855421687,NA,2,1,5,0,0,"High Income",0,0,0,2,1,1,0,0.8,0.4,1,6.2,"Low"
"KEN","Kenya",54600463,17.44,"Y","N","Y",28,3,25,0.512820512820513,7.339039,4,5,2,0,0,NA,0,1,0,0,1,0,0,1.6,2,0.4,6,"Low"
"ETH","Ethiopia",110966009,16.96,"Y","Y","N",28,3,25,0.252320446967649,12.7978336215705,4,5,2,0,0,NA,0,0,1,0,1,0,0,1.6,2,0.4,6,"Low"
"CHL","Chile",17984410,18.86,"Y","Y","Y",226,140,86,12.5695216907675,NA,4,3,5,1,1,"High Income",0,0,0,0,0,0,0,1.6,1.2,1,5.8,"Low"
"ITA","Italy",61859348,12.98,"Y","N","Y",623,527,96,10.0711283543485,NA,2,5,5,1,0,"High Income",0,1,0,0,0,0,0,0.8,2,1,5.8,"Low"
"JPN","Japan",123419990,10.68,"Y","N","Y",1533,1524,9,12.4210014584346,NA,2,5,5,0,0,"High Income",0,1,0,0,0,1,0,0.8,2,1,5.8,"Low"
"EST","Estonia",1210354,6.68,"Y","Y","Y",6,6,NA,4.95867768595041,NA,1,1,4,0,0,"High Income",0,0,0,2,1,1,0,0.4,0.4,0.8,5.6,"Lowest"
"BGR","Bulgaria",6914894,19.01,"Y","Y","Y",116,23,93,16.7872648335745,NA,4,2,5,1,0,NA,0,0,0,0,0,0,1,1.6,0.8,1,5.4,"Lowest"
"TWN","Taiwan",23471731,16.16,"Y","Y","N",68,58,10,2.89731572219855,NA,3,4,3,0,0,"High Income",0,0,1,0,0,1,0,1.2,1.6,0.6,5.4,"Lowest"
"HUN","Hungary",9730511,14.09,"Y","Y","Y",92,87,5,9.45529290853032,NA,3,3,5,1,0,"High Income",0,0,0,0,0,1,0,1.2,1.2,1,5.4,"Lowest"
"POL","Poland",38156837,17.95,"Y","Y","Y",322,311,11,8.43815513626834,NA,4,4,4,1,0,"High Income",0,0,0,0,0,0,0,1.6,1.6,0.8,5,"Lowest"
"COL","Colombia",50092132,13.62,"Y","Y","Y",146,56,90,2.91475344380116,0.799844,3,5,3,0,1,NA,0,0,0,0,0,0,0,1.2,2,0.6,4.8,"Lowest"
"KGZ","Kyrgyzstan",5890078,14.73,"Y","N","Y",27,2,25,4.58404074702886,99.9999999999997,3,2,4,0,0,NA,0,1,0,0,1,0,0,1.2,0.8,0.8,4.8,"Lowest"
"SVK","Slovakia",5439730,14.49,"Y","Y","Y",40,39,1,7.35294117647059,NA,3,2,4,1,0,"High Income",0,0,0,0,0,1,0,1.2,0.8,0.8,4.8,"Lowest"
"ROU","Romania",21230301,15.03,"Y","Y","Y",174,127,47,8.19594912859162,NA,3,4,4,1,0,"High Income",0,0,0,0,0,0,0,1.2,1.6,0.8,4.6,"Lowest"
"BIH","Bosnia and Herzegovina",3816193,23.73,"Y","Y","Y",88,20,68,23.0366492146597,0.85408322538293,5,1,5,1,0,NA,0,0,0,0,0,0,0,2,0.4,1,4.4,"Lowest"
"SRB","Serbia",7003880,20.21,"Y","Y","Y",85,74,11,12.1428571428571,1.050806,4,2,5,1,0,NA,0,0,0,0,0,0,0,1.6,0.8,1,4.4,"Lowest"
"MEX","México",130067436,17.29,"Y","Y","Y",715,220,495,5.49704005535481,0.373827231751097,4,5,4,0,0,NA,0,0,0,0,0,0,0,1.6,2,0.8,4.4,"Lowest"
"BEL","Belgium",11779045,10.12,"Y","Y","Y",119,109,10,10.1018675721562,NA,2,3,5,0,0,"High Income",0,0,0,0,0,1,0,0.8,1.2,1,4,"Lowest"
"CAN","Canada",37325048,8.01,"Y","Y","Y",2332,316,2016,62.469863380659,NA,1,4,5,0,1,"High Income",0,0,0,0,0,0,0,0.4,1.6,1,4,"Lowest"
"SVN","Slovenia",2067880,13.44,"Y","Y","Y",23,19,4,11.1111111111111,NA,3,1,5,0,0,"High Income",0,0,0,0,0,1,0,1.2,0.4,1,3.6,"Lowest"
"PRT","Portugal",10153019,6.35,"Y","Y","Y",73,63,10,7.19211822660098,NA,1,3,4,0,0,"High Income",0,0,0,0,0,1,0,0.4,1.2,0.8,3.4,"Lowest"
"SWE","Sweden",10108500,5.54,"Y","Y","Y",73,63,10,7.22057368941642,NA,1,3,4,0,0,"High Income",0,0,0,0,0,1,0,0.4,1.2,0.8,3.4,"Lowest"
"FRA","France",65606656,9.17,"Y","Y","Y",633,589,44,9.64791952446273,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Lowest"
"GBR","United Kingdom",65812705,8.65,"Y","Y","Y",723,421,302,10.986172314238,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Lowest"
"USA","United States",330656400,7.84,"Y","Y","Y",29424,3092,26332,88.9856650335692,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Lowest"
"ESP","Spain",46687904,7.54,"Y","Y","Y",556,470,86,11.9083315485115,NA,1,5,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,1,3.4,"Lowest"
"NLD","Netherlands",17290824,9.68,"Y","N","Y",114,88,26,6.59340659340659,NA,1,3,4,0,0,"High Income",0,1,0,0,0,0,0,0.4,1.2,0.8,3.4,"Lowest"
"DEU","Germany",79867443,9.34,"Y","Y","Y",485,433,52,6.07236759734569,NA,1,5,4,0,0,"High Income",0,0,0,0,0,0,0,0.4,2,0.8,3.2,"Lowest"
"FIN","Finland",5458427,5.14,"Y","Y","Y",59,52,7,10.8058608058608,NA,1,2,5,0,0,"High Income",0,0,0,0,0,1,0,0.4,0.8,1,3.2,"Lowest"
"GRC","Greece",10403252,11.83,"Y","Y","Y",276,24,252,26.5384615384615,NA,2,3,5,0,0,"High Income",0,0,0,0,0,0,0,0.8,1.2,1,3,"Lowest"
"DNK","Denmark",5801338,8.09,"Y","Y","Y",22,12,10,3.79310344827586,NA,1,2,4,0,0,"High Income",0,0,0,0,0,1,0,0.4,0.8,0.8,3,"Lowest"
"AUT","Austria",8885610,10.68,"Y","Y","Y",294,283,11,33.0708661417323,NA,2,2,5,0,0,"High Income",0,0,0,0,0,0,0,0.8,0.8,1,2.6,"Lowest"
"LTU","Lithuania",2710633,12.23,"Y","Y","Y",43,16,27,15.8671586715867,NA,2,1,5,0,0,"High Income",0,0,0,0,0,0,0,0.8,0.4,1,2.2,"Lowest"
"IRL","Ireland",5023426,6.45,"Y","Y","Y",100,24,76,19.9203187250996,NA,1,2,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,0.8,1,2.2,"Lowest"
"NOR","Norway",4957068,5.64,"Y","Y","Y",94,82,12,18.9516129032258,NA,1,2,5,0,0,"High Income",0,0,0,0,0,0,0,0.4,0.8,1,2.2,"Lowest"
"CHE","Switzerland",8461443,9.36,"Y","Y","Y",43,26,17,5.08274231678487,NA,1,2,4,0,0,"High Income",0,0,0,0,0,0,0,0.4,0.8,0.8,2,"Lowest"
