iso,datetime,count
IL,1/1/20,1
,,
IL,1/1/21,1
,,
IN,1/1/16,54
,,
IN,1/1/17,92
,,
IN,1/1/18,140
,,
IN,1/1/19,207
,,
IN,1/1/20,227
,,
IN,1/1/21,329
,,
IN,1/1/22,405
,,
IN,1/1/23,528
,,
IN,1/1/24,545
,,
IS,1/1/20,12
,,
IS,1/1/21,16
,,
IS,1/1/22,13
,,
IS,1/1/23,17
,,
IS,1/1/24,20
,,
IT,1/1/17,48
,,
IT,1/1/18,94
,,
IT,1/1/19,94
,,
IT,1/1/20,446
,,
IT,1/1/21,443
,,
IT,1/1/22,468
,,
IT,1/1/23,403
,,
IT,1/1/24,683
,,
JO,1/1/17,1
,,
JO,1/1/18,1
,,
JO,1/1/19,1
,,
JP,1/1/23,1582
,,
JP,1/1/24,1593
,,
KR,1/1/20,1
,,
KR,1/1/21,2
,,
KR,1/1/22,1
,,
KR,1/1/23,1
,,
KR,1/1/24,718
,,
LA,1/1/21,1
,,
LA,1/1/22,1
,,
LA,1/1/23,2
,,
LA,1/1/24,1
,,
LT,1/1/17,14
,,
LT,1/1/18,14
,,
LT,1/1/19,14
,,
LT,1/1/20,14
,,
LT,1/1/21,14
,,
LT,1/1/22,14
,,
LT,1/1/23,17
,,
LT,1/1/24,17
,,
LU,1/1/17,7
,,
LU,1/1/18,7
,,
LU,1/1/19,6
,,
LU,1/1/20,6
,,
LU,1/1/21,6
,,
LU,1/1/22,6
,,
LU,1/1/23,6
,,
LU,1/1/24,13
,,
LV,1/1/17,3
,,
LV,1/1/18,3
,,
LV,1/1/19,3
,,
LV,1/1/20,3
,,
LV,1/1/21,3
,,
LV,1/1/22,6
,,
LV,1/1/23,3
,,
LV,1/1/24,13
,,
ME,1/1/22,9
,,
ME,1/1/23,9
,,
ME,1/1/24,14
,,
MF,1/1/24,1
,,
MK,1/1/16,14
,,
MK,1/1/17,14
,,
MK,1/1/18,14
,,
MK,1/1/19,14
,,
MK,1/1/20,14
,,
MK,1/1/21,14
,,
MK,1/1/22,15
,,
MK,1/1/23,15
,,
MK,1/1/24,27
,,
MN,1/1/16,13
,,
MN,1/1/17,34
,,
MN,1/1/18,36
,,
MN,1/1/19,41
,,
MN,1/1/20,3
,,
MT,1/1/17,4
,,
MT,1/1/18,4
,,
MT,1/1/19,4
,,
MT,1/1/20,4
,,
MT,1/1/21,4
,,
MT,1/1/22,4
,,
MT,1/1/23,4
,,
MT,1/1/24,8
,,
MY,1/1/23,1
,,
NG,1/1/19,1
,,
NG,1/1/20,1
,,
NL,1/1/16,80
,,
NL,1/1/17,78
,,
NL,1/1/18,76
,,
NL,1/1/19,74
,,
NL,1/1/20,72
,,
NL,1/1/21,73
,,
NL,1/1/22,75
,,
NL,1/1/23,75
,,
NL,1/1/24,78
,,
NO,1/1/16,49
,,
NO,1/1/17,53
,,
NO,1/1/18,57
,,
NO,1/1/19,54
,,
NO,1/1/20,52
,,
NO,1/1/21,54
,,
NO,1/1/22,62
,,
NO,1/1/23,62
,,
NO,1/1/24,66
,,
NZ,1/1/23,10
,,
NZ,1/1/24,10
,,
OM,1/1/22,2
,,
OM,1/1/23,2
,,
OM,1/1/24,2
,,
PE,1/1/16,10
,,
PE,1/1/17,10
,,
PE,1/1/18,10
,,
PE,1/1/20,8
,,
PE,1/1/21,9
,,
PE,1/1/22,9
,,
PE,1/1/23,9
,,
PE,1/1/24,45
,,
PL,1/1/16,16
,,
PL,1/1/17,16
,,
PL,1/1/18,153
,,
PL,1/1/19,180
,,
PL,1/1/20,192
,,
PL,1/1/21,204
,,
PL,1/1/22,225
,,
PL,1/1/23,223
,,
PL,1/1/24,229
,,
PS,1/1/17,2
,,
PS,1/1/18,3
,,
PS,1/1/19,3
,,
PT,1/1/17,46
,,
PT,1/1/18,54
,,
PT,1/1/19,54
,,
PT,1/1/20,53
,,
PT,1/1/21,52
,,
PT,1/1/22,64
,,
PT,1/1/23,64
,,
PT,1/1/24,70
,,
RO,1/1/20,119
,,
RO,1/1/21,119
,,
RO,1/1/22,126
,,
RO,1/1/23,103
,,
RO,1/1/24,310
,,
RS,1/1/17,5
,,
RS,1/1/18,5
,,
RS,1/1/19,6
,,
RS,1/1/20,21
,,
RS,1/1/21,21
,,
RS,1/1/22,22
,,
RS,1/1/23,79
,,
RS,1/1/24,88
,,
RU,1/1/16,1
,,
RU,1/1/17,46
,,
RU,1/1/18,1
,,
RU,1/1/19,1
,,
RU,1/1/20,1
,,
RU,1/1/21,2
,,
RW,1/1/20,1
,,
RW,1/1/21,1
,,
RW,1/1/22,1
,,
RW,1/1/23,1
,,
SA,1/1/23,1
,,
SE,1/1/17,8
,,
SE,1/1/18,8
,,
SE,1/1/20,48
,,
SE,1/1/21,52
,,
SE,1/1/22,51
,,
SE,1/1/23,43
,,
SE,1/1/24,159
,,
SG,1/1/16,1
,,
SG,1/1/17,1
,,
SG,1/1/19,1
,,
SG,1/1/20,1
,,
SI,1/1/16,1
,,
SI,1/1/17,9
,,
SI,1/1/18,9
,,
SI,1/1/19,9
,,
SI,1/1/20,13
,,
SI,1/1/21,21
,,
SI,1/1/22,22
,,
SI,1/1/23,21
,,
SI,1/1/24,41
,,
SK,1/1/16,1
,,
SK,1/1/17,37
,,
SK,1/1/18,36
,,
SK,1/1/19,36
,,
SK,1/1/20,37
,,
SK,1/1/21,37
,,
SK,1/1/22,39
,,
SK,1/1/23,38
,,
SK,1/1/24,85
,,
SM,1/1/17,1
,,
SM,1/1/18,1
,,
SM,1/1/19,1
,,
SM,1/1/20,2
,,
SM,1/1/21,1
,,
SM,1/1/22,1
,,
