"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"GIN","Guinea",12795452,11.2,"N","N","N",1,1,NA,0.078152768655613,NA,2,3,1,0,0,NA,1,1,1,2,1,1,1,0.8,1.2,0.2,10.2,"High"
"BFA","Burkina Faso",21364329,8.52,"N","N","N",1,NA,1,0.0468069930958281,13.798376,1,4,1,0,1,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,10.2,"High"
"ARG","Argentina",45888555,11.15,"Y","N","Y",15,7,8,0.326878891697505,NA,2,5,2,0,1,NA,0,1,0,2,1,1,1,0.8,2,0.4,10.2,"High"
"BHR","Bahrain",1367240,17.92,"Y","N","N",NA,NA,NA,NA,NA,4,1,NA,1,0,"High Income",0,1,1,2,1,1,0,1.6,0.4,1,10,"High"
"QAT","Qatar",2445028,30.05,"Y","N","N",6,1,5,2.45395962745621,NA,5,1,3,1,0,"High Income",0,1,1,2,1,1,0,2,0.4,0.6,10,"High"
"LBR","Liberia",5105621,10.48,"N","N","N",2,NA,2,0.391725120215543,NA,2,2,2,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.4,10,"High"
"TKM","Turkmenistan",5554973,10.37,"N","N","N",3,2,1,0.540056630338257,NA,2,2,2,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.4,10,"High"
"SAU","Saudi Arabia",33434409,25.03,"Y","N","Y",8,4,4,0.239274455247586,NA,5,4,2,1,0,"High Income",0,1,0,2,1,1,0,2,1.6,0.4,10,"High"
"SDN","Sudan",46712136,11.37,"N","N","N",3,3,NA,0.0642231389290355,11.994919,2,5,1,0,0,NA,1,1,1,2,1,1,0,0.8,2,0.2,10,"High"
"TLS","Timor-Leste",1393234,10.53,"N","N","N",3,NA,3,2.15326355802399,NA,2,1,3,0,0,NA,1,1,1,2,1,1,1,0.8,0.4,0.6,9.8,"High"
"NAM","Namibia",2674922,11.97,"N","N","N",2,NA,2,0.747685353068239,NA,2,1,3,0,0,NA,1,1,1,2,1,1,1,0.8,0.4,0.6,9.8,"High"
"KWT","Kuwait",3010781,17.16,"Y","N","N",11,1,10,3.6535370722746,NA,4,1,4,1,0,"High Income",0,1,1,2,1,1,0,1.6,0.4,0.8,9.8,"High"
"PNG","Papua New Guinea",7193016,12.86,"N","N","N",1,NA,1,0.13902374191855,NA,2,2,1,0,0,NA,1,1,1,2,1,1,1,0.8,0.8,0.2,9.8,"High"
"GTM","Guatemala",17402899,29.05,"Y","N","N",38,2,36,2.18354424742682,0.022909,5,3,3,1,1,NA,0,1,1,0,1,0,1,2,1.2,0.6,9.8,"High"
"LKA","Sri Lanka",22831388,18.79,"Y","N","Y",18,1,17,0.788388336267598,NA,4,4,3,1,0,NA,0,1,0,2,1,0,1,1.6,1.6,0.6,9.8,"High"
"MOZ","Mozambique",30804884,12.41,"N","N","N",7,NA,7,0.227236694025532,9.308776,2,4,2,0,0,NA,1,1,1,2,1,1,0,0.8,1.6,0.4,9.8,"High"
"EGY","Egypt",106245735,18.24,"Y","N","Y",3,1,2,0.0282364275610687,0,4,5,1,0,0,NA,0,1,0,2,1,1,1,1.6,2,0.2,9.8,"High"
"SSD","South Sudan",11007070,16.04,"N","N","N",1,NA,1,0.0908506986872983,0.956087,3,3,1,0,0,NA,1,1,1,2,1,1,0,1.2,1.2,0.2,9.6,"Medium-high"
"UZB","Uzbekistan",30988328,20.04,"Y","N","N",9,1,8,0.290431932952304,208.961318,4,4,2,0,0,NA,0,1,1,2,1,1,0,1.6,1.6,0.4,9.6,"Medium-high"
"ARM","Armenia",3019699,19.51,"Y","N","N",7,1,6,2.31811183829912,0.163229138733109,4,1,3,1,0,NA,0,1,1,2,1,1,0,1.6,0.4,0.6,9.6,"Medium-high"
"ALB","Albania",3082234,13.53,"Y","N","Y",NA,NA,NA,NA,NA,3,1,NA,1,0,NA,0,1,0,2,1,1,1,1.2,0.4,1,9.6,"Medium-high"
"SGP","Singapore",5842829,13.01,"Y","N","Y",NA,NA,NA,NA,NA,2,2,NA,1,1,"High Income",0,1,0,2,1,1,0,0.8,0.8,1,9.6,"Medium-high"
"LAO","Laos",7594304,27.16,"N","N","N",35,7,28,4.60871727020672,0.034281,5,2,4,1,0,NA,1,1,1,0,1,0,1,2,0.8,0.8,9.6,"Medium-high"
"TGO","Togo",8279448,15.4,"N","N","N",11,NA,11,1.32859098819148,0.139637,3,2,3,0,1,NA,1,1,1,2,1,0,0,1.2,0.8,0.6,9.6,"Medium-high"
"SOM","Somalia",12035043,9.16,"N","N","N",NA,NA,NA,NA,0.797821,1,3,NA,0,0,NA,1,1,1,2,1,1,0,0.4,1.2,1,9.6,"Medium-high"
"KAZ","Kazakhstan",19244616,13.28,"Y","N","N",20,2,18,1.03925170551597,NA,3,4,3,0,0,NA,0,1,1,2,1,0,1,1.2,1.6,0.6,9.4,"Medium-high"
"TZA","Tanzania",61738595,16.38,"N","N","N",13,NA,13,0.210565206415857,0.478855,3,5,1,0,0,NA,1,1,1,2,1,0,0,1.2,2,0.2,9.4,"Medium-high"
"TUR","Turkey",81848204,21.78,"Y","N","N",354,346,8,4.32507963155795,NA,4,5,4,1,0,NA,0,1,1,0,0,1,1,1.6,2,0.8,9.4,"Medium-high"
"AZE","Azerbaijan",10205985,12.4,"Y","N","N",2,1,1,0.195963446938243,NA,2,3,1,0,0,NA,0,1,1,2,1,1,1,0.8,1.2,0.2,9.2,"Medium-high"
"JOR","Jordan",10912210,18.6,"Y","N","N",7,5,2,0.641483255912414,2.833282,4,3,2,0,0,NA,0,1,1,2,1,1,0,1.6,1.2,0.4,9.2,"Medium-high"
"TCD","Chad",17452358,11.14,"N","N","N",2,1,1,0.11459769505072,0.598264,2,3,1,0,0,NA,1,1,1,2,1,1,0,0.8,1.2,0.2,9.2,"Medium-high"
"MLI","Mali",20119024,6.79,"N","N","N",1,1,NA,0.0497042003628009,11.250753,1,4,1,0,0,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,9.2,"Medium-high"
"NER","Niger",23602767,8.87,"N","N","N",4,NA,4,0.169471655590211,0.398843,1,4,1,0,0,NA,1,1,1,2,1,1,0,0.4,1.6,0.2,9.2,"Medium-high"
"NPL","Nepal",30457421,51.71,"Y","N","N",91,3,88,2.9877775928566,5.628082,5,4,3,1,1,NA,0,1,1,0,1,0,0,2,1.6,0.6,9.2,"Medium-high"
"MAR","Morocco",35800311,8.83,"Y","N","N",2,NA,2,0.0558654364762362,NA,1,4,1,0,0,NA,0,1,1,2,1,1,1,0.4,1.6,0.2,9.2,"Medium-high"
"UGA","Uganda",44567430,26.69,"Y","N","N",49,1,48,1.0994576083925,14.549741,5,4,3,1,1,NA,0,1,1,0,1,0,0,2,1.6,0.6,9.2,"Medium-high"
"CRI","Costa Rica",5123419,12.51,"Y","N","N",3,1,2,0.585546487609153,NA,2,2,2,0,0,NA,0,1,1,2,1,1,1,0.8,0.8,0.4,9,"Medium-high"
"PRY","Paraguay",7260580,13.69,"Y","N","Y",NA,NA,NA,NA,NA,3,2,NA,0,0,NA,0,1,0,2,1,1,1,1.2,0.8,1,9,"Medium-high"
"NGA","Nigeria",218604443,23,"Y","N","N",60,3,57,0.274468346464486,3.707943,4,5,2,1,1,NA,0,1,1,0,1,0,0,1.6,2,0.4,9,"Medium-high"
"MUS","Mauritius",1339718,6.07,"Y","N","N",NA,NA,NA,NA,NA,1,1,NA,0,0,NA,0,1,1,2,1,1,1,0.4,0.4,1,8.8,"Medium-high"
"GNB","Guinea-Bissau",1900902,8.57,"N","N","N",NA,NA,NA,NA,0.678864,1,1,NA,0,0,NA,1,1,1,2,1,1,0,0.4,0.4,1,8.8,"Medium-high"
"THA","Thailand",69322864,23.19,"Y","N","Y",358,258,100,5.16424133890371,0.0909347317744154,5,5,4,1,1,NA,0,1,0,0,0,0,1,2,2,0.8,8.8,"Medium-high"
"TUN","Tunisia",11718498,8.62,"Y","N","N",NA,NA,NA,NA,0.259846827133479,1,3,NA,0,0,NA,0,1,1,2,1,1,0,0.4,1.2,1,8.6,"Medium-high"
