"name","ismonitor","min","max","count"
"Finland",False,"2021-01-14T01:19:09+00:00","2023-10-03T14:27:55+00:00","7"
"Finland",True,"2016-12-10T19:00:00+00:00","2023-10-03T13:00:00+00:00","52"
"France",False,"2021-01-12T18:48:54+00:00","2023-10-03T14:28:58+00:00","44"
"France",True,"2016-11-17T23:00:00+00:00","2023-10-03T14:00:00+00:00","589"
"Gabon",True,"2021-10-06T12:00:00+00:00","2022-02-27T19:00:00+00:00","1"
"Gabon",False,"2021-06-25T21:06:52+00:00","2023-10-03T14:29:02+00:00","13"
"Gambia",False,"2021-01-19T23:58:44+00:00","2023-09-15T23:03:55+00:00","3"
"Georgia",False,"2022-01-20T16:29:28+00:00","2023-10-03T14:29:06+00:00","10"
"Germany",False,"2020-10-10T00:27:57+00:00","2023-10-03T14:29:04+00:00","52"
"Germany",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:00:00+00:00","433"
"Ghana",False,"2020-04-08T18:56:22+00:00","2023-10-03T14:28:42+00:00","106"
"Ghana",True,"2020-05-01T01:00:00+00:00","2023-10-03T14:00:00+00:00","2"
"Greece",True,"2020-04-20T18:00:00+00:00","2023-10-03T13:00:00+00:00","24"
"Greece",False,"2019-05-31T20:50:02+00:00","2023-10-03T14:29:05+00:00","252"
"Greenland",False,"2021-01-14T01:19:25+00:00","2023-10-03T14:28:57+00:00","3"
"Guatemala",False,"2020-05-12T21:10:12+00:00","2023-10-03T14:29:01+00:00","36"
"Guatemala",True,"2019-10-20T21:00:00+00:00","2023-10-03T12:00:00+00:00","2"
"Guinea",True,"2020-05-01T02:00:00+00:00","2023-10-03T13:00:00+00:00","1"
"Guyana",False,"2021-03-05T16:48:31+00:00","2022-03-11T17:40:57+00:00","1"
"Honduras",False,"2021-01-19T23:59:55+00:00","2023-10-03T14:28:53+00:00","5"
"Hungary",True,"2016-12-12T14:00:00+00:00","2023-10-03T20:00:00+00:00","87"
"Hungary",False,"2021-01-19T23:59:59+00:00","2023-10-03T14:29:00+00:00","5"
"Iceland",True,"2020-02-28T01:00:00+00:00","2023-10-03T13:00:00+00:00","19"
"Iceland",False,"2020-11-25T20:22:01+00:00","2023-10-03T14:27:38+00:00","19"
"India",False,"2019-12-17T10:32:35+00:00","2023-10-03T14:28:57+00:00","612"
"India",True,"2016-01-30T00:30:00+00:00","2023-10-03T19:00:00+00:00","419"
"Indonesia",True,"2016-01-30T01:00:00+00:00","2023-10-03T20:00:00+00:00","6"
"Indonesia",False,"2020-12-04T23:22:30+00:00","2023-10-03T14:29:00+00:00","64"
"Iraq",True,"2019-03-10T16:00:00+00:00","2023-10-03T16:00:00+00:00","3"
"Iraq",False,"2022-08-24T20:44:49+00:00","2023-10-03T14:28:40+00:00","4"
"Ireland",False,"2020-01-17T20:31:00+00:00","2023-10-03T14:29:05+00:00","76"
"Ireland",True,"2016-02-27T21:00:00+00:00","2023-10-03T14:00:00+00:00","24"
"Israel",False,"2021-01-14T01:18:38+00:00","2023-10-03T14:28:46+00:00","17"
"Israel",True,"2016-01-01T01:00:00+00:00","2021-11-19T09:00:00+00:00","113"
"Italy",False,"2020-06-09T15:58:30+00:00","2023-10-03T14:29:03+00:00","96"
"Italy",True,"2016-11-21T12:00:00+00:00","2023-10-03T14:00:00+00:00","527"
"Jamaica",False,"2022-09-22T20:48:37+00:00","2023-10-03T14:26:04+00:00","1"
"Japan",True,"2023-07-14T17:00:00+00:00","2023-10-03T14:00:00+00:00","1524"
"Japan",False,"2021-01-13T21:54:05+00:00","2023-10-03T14:28:33+00:00","9"
"Jordan",False,"2021-05-08T16:42:26+00:00","2023-09-26T14:50:54+00:00","2"
"Jordan",True,"2017-08-10T23:00:00+00:00","2023-10-03T13:00:00+00:00","5"
"Kazakhstan",True,"2018-07-27T16:00:00+00:00","2023-10-03T16:00:00+00:00","2"
"Kazakhstan",False,"2020-10-24T22:30:58+00:00","2023-10-03T14:28:26+00:00","18"
"Kenya",True,"2018-04-21T00:00:00+00:00","2023-10-02T13:00:00+00:00","3"
"Kenya",False,"2020-05-03T22:43:59+00:00","2023-10-03T14:28:59+00:00","25"
"Kosovo",True,"2016-04-08T20:00:00+00:00","2023-10-03T12:00:00+00:00","19"
"Kosovo",False,"2021-01-14T01:18:21+00:00","2023-10-03T14:28:38+00:00","9"
"Kuwait",True,"2017-02-17T21:00:00+00:00","2023-10-03T13:00:00+00:00","1"
"Kuwait",False,"2020-10-07T20:01:04+00:00","2023-10-03T14:29:05+00:00","10"
"Kyrgyzstan",False,"2020-08-01T05:59:31+00:00","2023-10-03T14:28:45+00:00","25"
"Kyrgyzstan",True,"2019-03-08T20:00:00+00:00","2023-10-03T16:00:00+00:00","2"
"Laos",False,"2021-01-08T20:53:07+00:00","2023-10-03T14:29:05+00:00","28"
"Laos",True,"2021-04-29T19:00:00+00:00","2023-10-03T14:00:00+00:00","7"
"Latvia",False,"2021-01-28T20:27:08+00:00","2023-10-03T14:27:46+00:00","2"
"Latvia",True,"2017-09-22T10:00:00+00:00","2023-10-03T13:00:00+00:00","7"
"Lebanon",False,"2021-01-04T08:44:56+00:00","2023-10-03T14:28:25+00:00","39"
"Liberia",False,"2021-09-03T15:56:21+00:00","2022-11-05T17:45:34+00:00","2"
"Libya",False,"2021-06-27T07:47:22+00:00","2022-05-31T20:47:21+00:00","1"
"Lithuania",True,"2017-09-21T23:00:00+00:00","2023-10-03T13:00:00+00:00","16"
"Lithuania",False,"2021-01-20T00:00:16+00:00","2023-10-03T14:29:05+00:00","27"
"Luxembourg",True,"2017-09-22T10:00:00+00:00","2023-10-02T00:00:00+00:00","6"
"Macedonia",True,"2016-12-10T20:00:00+00:00","2023-10-03T14:00:00+00:00","16"
"Macedonia",False,"2021-01-14T01:18:59+00:00","2023-10-03T14:28:24+00:00","2"
"Madagascar",True,"2020-12-22T06:00:00+00:00","2023-10-03T12:00:00+00:00","1"
"Madagascar",False,"2020-06-04T23:05:13+00:00","2023-10-03T14:28:56+00:00","15"
"Malaysia",True,"2016-04-05T09:00:00+00:00","2023-10-03T14:00:00+00:00","10"
"Malaysia",False,"2021-01-14T01:18:28+00:00","2023-10-03T14:28:44+00:00","21"
"Mali",True,"2020-03-16T05:00:00+00:00","2023-10-03T10:00:00+00:00","1"
"Mauritania",False,"2021-01-19T23:59:56+00:00","2023-07-28T14:29:07+00:00","2"
"Mexico",False,"2018-07-18T19:34:03+00:00","2023-10-03T14:29:06+00:00","495"
"Mexico",True,"2016-03-06T19:00:00+00:00","2023-10-03T12:00:00+00:00","220"
"Moldova",True,"2020-04-20T19:00:00+00:00","2023-10-03T13:00:00+00:00","2"
"Mongolia",True,"2016-01-30T00:15:00+00:00","2023-10-03T18:00:00+00:00","44"
"Mongolia",False,"2020-11-25T22:18:48+00:00","2023-10-03T14:29:00+00:00","80"
"Montenegro",True,"2022-03-24T14:00:00+00:00","2023-10-03T09:00:00+00:00","9"
"Morocco",False,"2021-01-14T01:18:20+00:00","2023-02-01T05:45:31+00:00","2"
"Mozambique",False,"2021-10-20T06:27:52+00:00","2023-10-03T14:29:04+00:00","7"
